symbol,option_type,strike_price,expiration_date,last_price_usd,bid_price_usd,ask_price_usd,bid_iv,ask_iv,delta,gamma,theta,vega,open_interest,total traded volume,monetary volume
BTC-28MAR25-78000-C,call,78000.0,2025-03-28,6080.7175,8887.2025,9269.905,49.09,54.46,0.76097,3e-05,-69.51138,71.49015,5.9,0.0,0.0
BTC-28MAR25-78000-P,put,78000.0,2025-03-28,1828.4674999999997,1743.4225000000001,1828.4674999999997,51.05,52.24,-0.23903,3e-05,-69.51138,71.49015,79.7,13.1,25744.6
BTC-28MAR25-80000-C,call,80000.0,2025-03-28,7483.959999999999,7483.959999999999,7824.139999999999,48.9,53.18,0.70364,3e-05,-76.20084,79.68683,2427.8,26.4,186723.13
BTC-28MAR25-80000-P,put,80000.0,2025-03-28,2423.7825000000003,2338.7375,2423.7825000000003,50.68,51.75,-0.29636,3e-05,-76.20084,79.68683,1800.0,79.8,193653.38
BTC-28MAR25-82000-C,call,82000.0,2025-03-28,6097.7265,6208.285,6420.8975,48.6,51.07,0.63996,3e-05,-81.49606,86.22752,336.4,30.6,183480.86
BTC-28MAR25-82000-P,put,82000.0,2025-03-28,3104.1425,3019.0975,3104.1425,49.81,50.8,-0.36012,3e-05,-81.50023,86.23193,228.6,31.7,107480.67
BTC-28MAR25-84000-C,call,84000.0,2025-03-28,4975.132500000001,5145.2225,5272.79,49.14,50.55,0.57195,3e-05,-84.90942,90.44356,186.1,6.6,32228.37
BTC-28MAR25-84000-P,put,84000.0,2025-03-28,4167.205,3869.5474999999997,3997.1150000000002,49.38,50.79,-0.42805,3e-05,-84.90942,90.44356,229.5,49.7,207783.54
BTC-28MAR25-85000-C,call,85000.0,2025-03-28,4507.385,4634.9525,4762.52,49.06,50.46,0.5371,3e-05,-85.59561,91.53901,2893.3,183.0,840272.83
BTC-28MAR25-85000-P,put,85000.0,2025-03-28,4422.34,4379.8175,4464.8625,49.49,50.43,-0.4629,3e-05,-85.59561,91.53901,2493.0,165.5,752359.91
BTC-28MAR25-86000-C,call,86000.0,2025-03-28,4252.25,4209.7275,4294.7725,49.49,50.42,0.50251,3e-05,-85.99261,91.93495,140.2,31.5,133107.06
BTC-28MAR25-86000-P,put,86000.0,2025-03-28,4719.9975,4890.087500000001,5017.655,49.26,50.65,-0.49749,3e-05,-85.99261,91.93495,84.1,16.8,77199.76
BTC-28MAR25-88000-C,call,88000.0,2025-03-28,3274.2325,3401.8,3486.8450000000003,49.69,50.63,0.43494,3e-05,-84.89463,90.7176,216.4,31.3,115692.25
BTC-28MAR25-88000-P,put,88000.0,2025-03-28,6420.8975,6038.195,6165.7625,49.05,50.46,-0.56525,3e-05,-84.88223,90.70435,342.1,32.5,192932.39
BTC-28MAR25-90000-C,call,90000.0,2025-03-28,2636.395,2678.9175,2806.485,49.42,50.89,0.37112,3e-05,-81.81428,87.10258,3133.1,190.1,513983.45
BTC-28MAR25-90000-P,put,90000.0,2025-03-28,7398.914999999999,7228.825000000001,7569.004999999999,47.82,51.74,-0.62906,3e-05,-81.79634,87.08305,1124.3,45.6,339689.99
